avg_temp,year,city
6.23,1743,Hamburg
9.63,1744,Hamburg
1.25,1745,Hamburg
9.31,1750,Hamburg
8.94,1751,Hamburg
4.65,1752,Hamburg
8.12,1753,Hamburg
7.88,1754,Hamburg
7.69,1755,Hamburg
8.64,1756,Hamburg
8.48,1757,Hamburg
7.76,1758,Hamburg
8.69,1759,Hamburg
8.36,1760,Hamburg
8.86,1761,Hamburg
7.81,1762,Hamburg
7.80,1763,Hamburg
8.25,1764,Hamburg
7.91,1765,Hamburg
8.27,1766,Hamburg
7.59,1767,Hamburg
7.64,1768,Hamburg
7.97,1769,Hamburg
7.98,1770,Hamburg
7.10,1771,Hamburg
8.26,1772,Hamburg
8.94,1773,Hamburg
7.76,1774,Hamburg
9.27,1775,Hamburg
8.00,1776,Hamburg
7.79,1777,Hamburg
8.68,1778,Hamburg
9.91,1779,Hamburg
8.27,1780,Hamburg
9.32,1781,Hamburg
7.67,1782,Hamburg
9.08,1783,Hamburg
6.92,1784,Hamburg
7.02,1785,Hamburg
7.06,1786,Hamburg
8.50,1787,Hamburg
7.82,1788,Hamburg
8.29,1789,Hamburg
8.48,1790,Hamburg
8.79,1791,Hamburg
8.32,1792,Hamburg
8.51,1793,Hamburg
9.24,1794,Hamburg
8.04,1795,Hamburg
8.46,1796,Hamburg
9.16,1797,Hamburg
8.83,1798,Hamburg
6.31,1799,Hamburg
7.90,1800,Hamburg
8.80,1801,Hamburg
8.21,1802,Hamburg
7.39,1803,Hamburg
7.79,1804,Hamburg
6.72,1805,Hamburg
8.78,1806,Hamburg
8.44,1807,Hamburg
7.70,1808,Hamburg
7.91,1809,Hamburg
7.76,1810,Hamburg
9.25,1811,Hamburg
6.91,1812,Hamburg
8.16,1813,Hamburg
6.88,1814,Hamburg
7.90,1815,Hamburg
7.06,1816,Hamburg
8.22,1817,Hamburg
8.59,1818,Hamburg
8.87,1819,Hamburg
7.30,1820,Hamburg
8.47,1821,Hamburg
9.50,1822,Hamburg
7.65,1823,Hamburg
8.89,1824,Hamburg
8.85,1825,Hamburg
9.04,1826,Hamburg
8.25,1827,Hamburg
8.52,1828,Hamburg
6.06,1829,Hamburg
7.42,1830,Hamburg
8.74,1831,Hamburg
7.97,1832,Hamburg
8.31,1833,Hamburg
9.79,1834,Hamburg
8.32,1835,Hamburg
8.15,1836,Hamburg
7.61,1837,Hamburg
6.54,1838,Hamburg
7.87,1839,Hamburg
7.29,1840,Hamburg
8.25,1841,Hamburg
8.44,1842,Hamburg
8.49,1843,Hamburg
7.18,1844,Hamburg
7.24,1845,Hamburg
9.45,1846,Hamburg
7.85,1847,Hamburg
8.25,1848,Hamburg
7.50,1849,Hamburg
7.67,1850,Hamburg
8.02,1851,Hamburg
8.84,1852,Hamburg
6.90,1853,Hamburg
8.21,1854,Hamburg
6.38,1855,Hamburg
7.66,1856,Hamburg
8.93,1857,Hamburg
7.72,1858,Hamburg
9.10,1859,Hamburg
7.27,1860,Hamburg
8.36,1861,Hamburg
8.43,1862,Hamburg
9.09,1863,Hamburg
6.75,1864,Hamburg
8.34,1865,Hamburg
8.76,1866,Hamburg
7.69,1867,Hamburg
9.57,1868,Hamburg
8.23,1869,Hamburg
7.25,1870,Hamburg
6.83,1871,Hamburg
9.26,1872,Hamburg
8.61,1873,Hamburg
8.47,1874,Hamburg
7.86,1875,Hamburg
7.99,1876,Hamburg
8.11,1877,Hamburg
8.71,1878,Hamburg
6.61,1879,Hamburg
8.44,1880,Hamburg
7.09,1881,Hamburg
8.73,1882,Hamburg
8.15,1883,Hamburg
8.89,1884,Hamburg
7.78,1885,Hamburg
7.98,1886,Hamburg
7.41,1887,Hamburg
6.95,1888,Hamburg
7.91,1889,Hamburg
7.76,1890,Hamburg
7.79,1891,Hamburg
7.44,1892,Hamburg
8.05,1893,Hamburg
8.52,1894,Hamburg
7.59,1895,Hamburg
8.21,1896,Hamburg
8.14,1897,Hamburg
8.69,1898,Hamburg
8.52,1899,Hamburg
8.53,1900,Hamburg
8.04,1901,Hamburg
7.15,1902,Hamburg
8.67,1903,Hamburg
8.47,1904,Hamburg
8.26,1905,Hamburg
8.73,1906,Hamburg
7.91,1907,Hamburg
8.01,1908,Hamburg
7.52,1909,Hamburg
8.92,1910,Hamburg
9.36,1911,Hamburg
8.14,1912,Hamburg
8.92,1913,Hamburg
9.21,1914,Hamburg
7.78,1915,Hamburg
8.37,1916,Hamburg
7.81,1917,Hamburg
8.60,1918,Hamburg
7.32,1919,Hamburg
8.73,1920,Hamburg
9.21,1921,Hamburg
7.27,1922,Hamburg
7.78,1923,Hamburg
7.75,1924,Hamburg
8.67,1925,Hamburg
8.85,1926,Hamburg
8.13,1927,Hamburg
8.32,1928,Hamburg
7.34,1929,Hamburg
8.94,1930,Hamburg
7.91,1931,Hamburg
8.82,1932,Hamburg
8.31,1933,Hamburg
9.96,1934,Hamburg
8.85,1935,Hamburg
8.70,1936,Hamburg
8.77,1937,Hamburg
9.37,1938,Hamburg
8.87,1939,Hamburg
6.67,1940,Hamburg
7.25,1941,Hamburg
7.14,1942,Hamburg
9.10,1943,Hamburg
8.78,1944,Hamburg
9.25,1945,Hamburg
8.47,1946,Hamburg
8.24,1947,Hamburg
9.35,1948,Hamburg
9.48,1949,Hamburg
8.77,1950,Hamburg
8.91,1951,Hamburg
7.93,1952,Hamburg
9.34,1953,Hamburg
7.98,1954,Hamburg
7.96,1955,Hamburg
7.29,1956,Hamburg
8.92,1957,Hamburg
8.39,1958,Hamburg
9.36,1959,Hamburg
8.63,1960,Hamburg
9.16,1961,Hamburg
7.54,1962,Hamburg
7.30,1963,Hamburg
8.23,1964,Hamburg
7.84,1965,Hamburg
8.46,1966,Hamburg
9.38,1967,Hamburg
8.67,1968,Hamburg
8.09,1969,Hamburg
7.91,1970,Hamburg
8.92,1971,Hamburg
8.30,1972,Hamburg
8.80,1973,Hamburg
9.21,1974,Hamburg
9.44,1975,Hamburg
8.72,1976,Hamburg
8.93,1977,Hamburg
8.27,1978,Hamburg
7.63,1979,Hamburg
8.00,1980,Hamburg
8.40,1981,Hamburg
9.09,1982,Hamburg
9.41,1983,Hamburg
8.44,1984,Hamburg
7.66,1985,Hamburg
8.09,1986,Hamburg
7.55,1987,Hamburg
9.35,1988,Hamburg
9.93,1989,Hamburg
10.08,1990,Hamburg
8.79,1991,Hamburg
9.84,1992,Hamburg
8.57,1993,Hamburg
9.73,1994,Hamburg
9.16,1995,Hamburg
7.42,1996,Hamburg
9.27,1997,Hamburg
9.31,1998,Hamburg
10.02,1999,Hamburg
10.12,2000,Hamburg
9.19,2001,Hamburg
9.86,2002,Hamburg
9.48,2003,Hamburg
9.48,2004,Hamburg
9.58,2005,Hamburg
10.15,2006,Hamburg
10.37,2007,Hamburg
10.04,2008,Hamburg
9.61,2009,Hamburg
7.97,2010,Hamburg
9.73,2011,Hamburg
9.20,2012,Hamburg
9.17,2013,Hamburg
